movie_name,trial_idx,n_recordings,dur_min_s,dur_max_s,dur_mean_s,dur_range_s,samples_min,samples_max,samples_range,all_same_length
baseline_127,0,36,2.96735,3.05635,3.03323611111111,0.08899999999999997,59347,61127,1780,False
freq_step_5st_3x,0,36,24.76605,25.46005,25.259299999999996,0.6939999999999991,495321,509201,13880,False
freq_step_5st_3x,1,36,24.75825,25.4484,25.259715277777776,0.6901499999999992,495165,508968,13803,False
freq_step_5st_3x,2,36,24.75945,25.45455,25.259772222222225,0.6951,495189,509091,13902,False
green_blue_3s_3i_3x,0,36,11.8604,12.2182,12.125654166666665,0.35779999999999923,237208,244364,7156,False
green_blue_3s_3i_3x,1,36,11.88025,12.2212,12.12785277777778,0.3409499999999994,237605,244424,6819,False
green_blue_3s_3i_3x,2,36,11.88595,12.2214,12.124951388888888,0.3354499999999998,237719,244428,6709,False
iprgc_test,0,36,120.0,120.0,120.0,0.0,2400000,2400000,0,True
iprgc_test,1,36,120.0,120.0,120.0,0.0,2400000,2400000,0,True
iprgc_test,2,3,7.0793,120.0,65.27313333333333,112.9207,141586,2400000,2258414,False
moving_h_bar_s5_d8_3x,0,36,74.63105,76.6825,76.12700555555557,2.0514500000000027,1492621,1533650,41029,False
moving_h_bar_s5_d8_3x,1,36,74.6135,76.7006,76.12165138888889,2.0870999999999924,1492270,1534012,41742,False
moving_h_bar_s5_d8_3x,2,36,74.6134,76.69395,76.13754722222222,2.0805500000000023,1492268,1533879,41611,False
perfect_dense_noise_15x15_15hz_r42_3min,0,36,178.338,183.24175,181.8927013888889,4.903750000000002,3566760,3664835,98075,False
step_up_5s_5i_b0_30x,0,36,9.90415,10.18205,10.106644444444445,0.2779000000000007,198083,203641,5558,False
step_up_5s_5i_b0_30x,1,36,9.8979,10.1854,10.105573611111112,0.28749999999999964,197958,203708,5750,False
step_up_5s_5i_b0_30x,2,36,9.9081,10.19365,10.107302777777777,0.28555000000000064,198162,203873,5711,False
step_up_5s_5i_b0_30x,3,36,9.90665,10.1841,10.107316666666666,0.27745,198133,203682,5549,False
step_up_5s_5i_b0_30x,4,36,9.8988,10.18185,10.10702361111111,0.28305000000000113,197976,203637,5661,False
step_up_5s_5i_b0_30x,5,36,9.90235,10.18785,10.110141666666667,0.285499999999999,198047,203757,5710,False
step_up_5s_5i_b0_30x,6,36,9.89725,10.18405,10.107708333333331,0.2867999999999995,197945,203681,5736,False
step_up_5s_5i_b0_30x,7,36,9.9065,10.1926,10.106729166666666,0.28610000000000113,198130,203852,5722,False
step_up_5s_5i_b0_30x,8,36,9.91155,10.18985,10.106309722222223,0.27829999999999977,198231,203797,5566,False
step_up_5s_5i_b0_30x,9,36,9.90475,10.18645,10.107844444444446,0.2817000000000007,198095,203729,5634,False
step_up_5s_5i_b0_30x,10,36,9.9061,10.1847,10.107552777777778,0.27859999999999907,198122,203694,5572,False
step_up_5s_5i_b0_30x,11,36,9.9025,10.1834,10.106044444444445,0.2809000000000008,198050,203668,5618,False
step_up_5s_5i_b0_30x,12,36,9.9063,10.1831,10.11054861111111,0.2767999999999997,198126,203662,5536,False
step_up_5s_5i_b0_30x,13,36,9.8967,10.1931,10.114481944444444,0.2964000000000002,197934,203862,5928,False
step_up_5s_5i_b0_30x,14,36,9.9,10.18655,10.11240277777778,0.2865500000000001,198000,203731,5731,False
step_up_5s_5i_b0_30x,15,36,9.90755,10.19945,10.109131944444446,0.29190000000000005,198151,203989,5838,False
step_up_5s_5i_b0_30x,16,36,9.8985,10.19125,10.105697222222222,0.29274999999999984,197970,203825,5855,False
step_up_5s_5i_b0_30x,17,36,9.8988,10.19065,10.104495833333333,0.29185000000000016,197976,203813,5837,False
step_up_5s_5i_b0_30x,18,36,9.90495,10.19095,10.107625000000002,0.28600000000000136,198099,203819,5720,False
step_up_5s_5i_b0_30x,19,36,9.90935,10.1853,10.106298611111109,0.2759499999999999,198187,203706,5519,False
step_up_5s_5i_b0_30x,20,36,9.8945,10.20425,10.105694444444445,0.3097499999999993,197890,204085,6195,False
step_up_5s_5i_b0_30x,21,36,9.9023,10.182,10.104997222222224,0.27970000000000006,198046,203640,5594,False
step_up_5s_5i_b0_30x,22,36,9.9006,10.1908,10.104966666666664,0.2901999999999987,198012,203816,5804,False
step_up_5s_5i_b0_30x,23,36,9.9068,10.19565,10.106572222222223,0.28885000000000005,198136,203913,5777,False
step_up_5s_5i_b0_30x,24,36,9.8972,10.1841,10.106520833333333,0.28690000000000104,197944,203682,5738,False
step_up_5s_5i_b0_30x,25,36,9.9068,10.185,10.107695833333333,0.2782,198136,203700,5564,False
step_up_5s_5i_b0_30x,26,36,9.8972,10.18735,10.106858333333333,0.2901500000000006,197944,203747,5803,False
step_up_5s_5i_b0_30x,27,36,9.90135,10.1852,10.106094444444444,0.28384999999999927,198027,203704,5677,False
step_up_5s_5i_b0_30x,28,36,9.90895,10.18885,10.106037500000001,0.2798999999999996,198179,203777,5598,False
step_up_5s_5i_b0_30x,29,36,9.89265,10.18435,10.103913888888888,0.2917000000000005,197853,203687,5834,False
step_up_5s_5i_b0_3x,0,36,9.8951,10.1808,10.108756944444444,0.2857000000000003,197902,203616,5714,False
step_up_5s_5i_b0_3x,1,36,9.8978,10.18325,10.103544444444447,0.2854499999999991,197956,203665,5709,False
step_up_5s_5i_b0_3x,2,36,9.8825,10.1834,10.101747222222222,0.3009000000000004,197650,203668,6018,False
